run_name,model,landmarks,normalized,augment,shuffle_time,gru_pool,optimizer,lr_schedule,lr,dropout,seed,epochs_run,best_epoch,val_top1,test_top1,test_top5,train_seconds
v1_gru,gru,hands_pose,true,false,false,last,adam,none,0.001,0.3,0,51,41,0.4938,0.4687,0.7244,99
v1_cnn,cnn,hands_pose,true,false,false,,adam,none,0.001,0.3,0,29,19,0.5162,0.4869,0.7578,65
v1_cnn_s1,cnn,hands_pose,true,false,false,,adam,none,0.001,0.3,1,50,40,0.5299,0.5315,0.7855,111
v1_cnn_s2,cnn,hands_pose,true,false,false,,adam,none,0.001,0.3,2,60,51,0.5302,0.5328,0.7851,137
v1_gru_s1,gru,hands_pose,true,false,false,last,adam,none,0.001,0.3,1,60,56,0.4922,0.4920,0.7413,123
v1_gru_s2,gru,hands_pose,true,false,false,last,adam,none,0.001,0.3,2,30,20,0.4776,0.4634,0.7232,59
ref_cnn_s0,cnn,hands_pose,true,false,false,,adam,cosine,0.001,0.3,0,60,60,0.5429,0.5483,0.7907,135
ref_cnn_s1,cnn,hands_pose,true,false,false,,adam,cosine,0.001,0.3,1,60,47,0.5399,0.5376,0.7873,133
ref_cnn_s2,cnn,hands_pose,true,false,false,,adam,cosine,0.001,0.3,2,60,52,0.5412,0.5418,0.7862,133
ref_gru_s0,gru,hands_pose,true,false,false,last,adam,cosine,0.001,0.3,0,60,47,0.4886,0.4890,0.7372,114
ref_gru_s1,gru,hands_pose,true,false,false,last,adam,cosine,0.001,0.3,1,60,31,0.4847,0.4763,0.7300,116
ref_gru_s2,gru,hands_pose,true,false,false,last,adam,cosine,0.001,0.3,2,60,31,0.4890,0.4765,0.7314,114
abl_hands_only,cnn,hands,true,false,false,,adam,cosine,0.001,0.3,0,60,56,0.5469,0.5562,0.7894,135
abl_no_norm,cnn,hands_pose,false,false,false,,adam,cosine,0.001,0.3,0,60,60,0.5318,0.5400,0.7815,132
abl_augment,cnn,hands_pose,true,true,false,,adam,cosine,0.001,0.3,0,60,59,0.5686,0.5936,0.8141,161
v2_transformer,transformer,hands_pose,true,false,false,,adamw,cosine,0.0003,0.3,0,60,25,0.4783,0.4770,0.7443,429
v2_transformer_aug,transformer,hands_pose,true,true,false,,adamw,cosine,0.0003,0.3,0,60,43,0.4938,0.5239,0.7638,463
diag_gru_meanpool,gru,hands_pose,true,false,false,mean,adam,cosine,0.001,0.3,0,60,50,0.4857,0.4901,0.7480,132
diag_shuffled,cnn,hands_pose,true,false,true,,adam,cosine,0.001,0.3,0,60,54,0.4596,0.4768,0.7573,150
abl_augment_long,cnn,hands_pose,true,true,false,,adam,cosine,0.001,0.3,0,120,92,0.5798,0.5966,0.8118,373
abl_hands_aug,cnn,hands,true,true,false,,adam,cosine,0.001,0.3,0,120,116,0.5818,0.6103,0.8259,351
prod_s1,cnn,hands_pose,true,true,false,,adam,cosine,0.001,0.3,1,120,120,0.5793,0.5983,0.8223,416
prod_s2,cnn,hands_pose,true,true,false,,adam,cosine,0.001,0.3,2,120,109,0.5722,0.5947,0.8186,380
prod_hands_s1,cnn,hands,true,true,false,,adam,cosine,0.001,0.3,1,120,105,0.5726,0.6036,0.8254,374
prod_hands_s2,cnn,hands,true,true,false,,adam,cosine,0.001,0.3,2,120,104,0.5777,0.6054,0.8233,364
