epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.8918,0.2349,0.5412,0.001000,3.2
2,2.6857,0.3352,0.6447,0.000999,2.7
3,2.2920,0.3807,0.6722,0.000997,2.7
4,2.0726,0.4316,0.7178,0.000994,2.7
5,1.9139,0.4034,0.6937,0.000989,2.7
6,1.8034,0.4675,0.7427,0.000983,2.7
7,1.7058,0.4487,0.7459,0.000976,2.7
8,1.6269,0.4719,0.7497,0.000967,2.7
9,1.5619,0.4756,0.7470,0.000957,2.7
10,1.5119,0.4909,0.7598,0.000946,2.7
11,1.4641,0.5110,0.7744,0.000933,2.7
12,1.4206,0.5064,0.7768,0.000919,2.7
13,1.3792,0.4965,0.7697,0.000905,2.6
14,1.3484,0.4913,0.7693,0.000889,2.7
15,1.3124,0.5211,0.7813,0.000872,2.7
16,1.2836,0.5187,0.7825,0.000854,2.6
17,1.2603,0.5101,0.7808,0.000835,2.7
18,1.2329,0.5192,0.7835,0.000815,2.7
19,1.2083,0.5152,0.7864,0.000794,2.7
20,1.1909,0.5256,0.7885,0.000772,2.7
21,1.1653,0.5189,0.7824,0.000750,2.6
22,1.1495,0.5245,0.7863,0.000727,2.7
23,1.1285,0.5325,0.7901,0.000703,2.8
24,1.1026,0.5264,0.7913,0.000679,2.7
25,1.0854,0.5150,0.7811,0.000655,2.7
26,1.0700,0.5283,0.7880,0.000629,2.7
27,1.0505,0.5345,0.7899,0.000604,2.7
28,1.0339,0.5401,0.7966,0.000578,2.7
29,1.0176,0.5415,0.7983,0.000552,2.7
30,1.0050,0.5455,0.7969,0.000526,2.7
31,0.9869,0.5423,0.7916,0.000500,2.7
32,0.9757,0.5432,0.7996,0.000474,2.7
33,0.9603,0.5478,0.8024,0.000448,2.7
34,0.9431,0.5376,0.7908,0.000422,2.7
35,0.9317,0.5507,0.8000,0.000396,2.7
36,0.9180,0.5550,0.7992,0.000371,2.7
37,0.9016,0.5553,0.8011,0.000345,2.6
38,0.8869,0.5563,0.8041,0.000321,2.7
39,0.8818,0.5533,0.8014,0.000297,2.6
40,0.8683,0.5583,0.8026,0.000273,2.7
41,0.8616,0.5544,0.8032,0.000250,2.7
42,0.8508,0.5648,0.8075,0.000228,2.7
43,0.8350,0.5635,0.8045,0.000206,2.7
44,0.8259,0.5554,0.8022,0.000185,2.7
45,0.8200,0.5605,0.8076,0.000165,2.8
46,0.8106,0.5571,0.8038,0.000146,2.7
47,0.7987,0.5643,0.8063,0.000128,2.6
48,0.7921,0.5634,0.8060,0.000111,2.7
49,0.7826,0.5683,0.8083,0.000095,2.7
50,0.7785,0.5621,0.8022,0.000081,2.7
51,0.7679,0.5680,0.8089,0.000067,2.7
52,0.7644,0.5679,0.8079,0.000054,2.6
53,0.7609,0.5654,0.8080,0.000043,2.7
54,0.7579,0.5628,0.8067,0.000033,2.7
55,0.7586,0.5637,0.8044,0.000024,2.7
56,0.7520,0.5643,0.8068,0.000017,2.8
57,0.7518,0.5639,0.8052,0.000011,2.7
58,0.7451,0.5661,0.8067,0.000006,2.7
59,0.7416,0.5686,0.8098,0.000003,2.7
60,0.7421,0.5684,0.8083,0.000001,2.7
