epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.8918,0.2349,0.5412,0.001000,4.0
2,2.6855,0.3373,0.6444,0.001000,3.2
3,2.2923,0.3763,0.6714,0.000999,3.3
4,2.0715,0.4298,0.7165,0.000998,3.1
5,1.9142,0.4083,0.6961,0.000997,3.1
6,1.8033,0.4657,0.7426,0.000996,3.2
7,1.7077,0.4501,0.7447,0.000994,3.4
8,1.6294,0.4704,0.7507,0.000992,4.0
9,1.5640,0.4811,0.7517,0.000989,3.8
10,1.5158,0.4919,0.7605,0.000986,3.7
11,1.4695,0.5087,0.7733,0.000983,3.3
12,1.4270,0.5055,0.7745,0.000979,3.3
13,1.3853,0.4920,0.7676,0.000976,3.2
14,1.3590,0.4856,0.7637,0.000971,3.2
15,1.3243,0.5177,0.7767,0.000967,3.2
16,1.2989,0.5219,0.7829,0.000962,3.2
17,1.2778,0.5056,0.7769,0.000957,3.2
18,1.2516,0.5137,0.7797,0.000951,3.2
19,1.2314,0.5142,0.7813,0.000946,3.2
20,1.2160,0.5215,0.7875,0.000939,3.1
21,1.1934,0.5030,0.7728,0.000933,3.3
22,1.1802,0.5271,0.7856,0.000926,3.2
23,1.1627,0.5322,0.7875,0.000919,3.1
24,1.1389,0.5184,0.7853,0.000912,3.1
25,1.1278,0.5153,0.7820,0.000905,3.2
26,1.1118,0.5205,0.7808,0.000897,3.2
27,1.0987,0.5309,0.7873,0.000889,3.2
28,1.0857,0.5326,0.7873,0.000880,3.1
29,1.0763,0.5420,0.7970,0.000872,3.1
30,1.0655,0.5390,0.7920,0.000863,3.1
31,1.0535,0.5321,0.7850,0.000854,3.1
32,1.0449,0.5403,0.7928,0.000844,3.0
33,1.0301,0.5442,0.7990,0.000835,3.1
34,1.0221,0.5270,0.7797,0.000825,3.0
35,1.0116,0.5505,0.7970,0.000815,3.0
36,1.0005,0.5476,0.7949,0.000804,3.1
37,0.9890,0.5368,0.7919,0.000794,3.1
38,0.9780,0.5488,0.7950,0.000783,3.1
39,0.9752,0.5361,0.7881,0.000772,3.1
40,0.9630,0.5491,0.7969,0.000761,3.1
41,0.9619,0.5482,0.7919,0.000750,3.0
42,0.9526,0.5608,0.8034,0.000739,3.1
43,0.9372,0.5525,0.7992,0.000727,3.0
44,0.9334,0.5442,0.7943,0.000715,3.0
45,0.9276,0.5521,0.7997,0.000703,3.1
46,0.9157,0.5370,0.7923,0.000691,3.0
47,0.9075,0.5568,0.8022,0.000679,3.0
48,0.9005,0.5383,0.7894,0.000667,3.1
49,0.8927,0.5602,0.8035,0.000655,3.0
50,0.8844,0.5499,0.7996,0.000642,3.1
51,0.8726,0.5495,0.7988,0.000629,3.1
52,0.8663,0.5511,0.7984,0.000617,3.0
53,0.8641,0.5621,0.8051,0.000604,3.0
54,0.8513,0.5502,0.7992,0.000591,3.0
55,0.8517,0.5579,0.7995,0.000578,3.1
56,0.8436,0.5517,0.7971,0.000565,3.0
57,0.8365,0.5552,0.7979,0.000552,3.0
58,0.8283,0.5500,0.7981,0.000539,3.0
59,0.8136,0.5636,0.8007,0.000526,3.0
60,0.8145,0.5698,0.8073,0.000513,3.2
61,0.8105,0.5621,0.8006,0.000500,3.0
62,0.7951,0.5656,0.8024,0.000487,3.0
63,0.7872,0.5593,0.7954,0.000474,3.0
64,0.7831,0.5596,0.8027,0.000461,3.0
65,0.7852,0.5745,0.8087,0.000448,3.0
66,0.7686,0.5691,0.8062,0.000435,3.0
67,0.7656,0.5582,0.8034,0.000422,3.1
68,0.7572,0.5676,0.8047,0.000409,3.1
69,0.7564,0.5669,0.8031,0.000396,3.0
70,0.7462,0.5636,0.8011,0.000383,3.1
71,0.7384,0.5689,0.8067,0.000371,3.0
72,0.7309,0.5597,0.8002,0.000358,3.0
73,0.7295,0.5598,0.7998,0.000345,3.0
74,0.7191,0.5688,0.8034,0.000333,3.0
75,0.7133,0.5686,0.8070,0.000321,3.0
76,0.7078,0.5572,0.7989,0.000309,3.0
77,0.7015,0.5660,0.8039,0.000297,3.0
