epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.7881,0.2332,0.5378,0.001000,3.3
2,2.6526,0.3266,0.6250,0.001000,2.9
3,2.3013,0.3672,0.6620,0.000999,2.9
4,2.0918,0.3727,0.6779,0.000998,2.9
5,1.9483,0.4109,0.7099,0.000997,2.9
6,1.8402,0.4261,0.7224,0.000996,3.0
7,1.7531,0.4515,0.7364,0.000994,2.9
8,1.6756,0.4183,0.7177,0.000992,3.2
9,1.6204,0.4780,0.7560,0.000989,3.0
10,1.5704,0.4743,0.7554,0.000986,2.9
11,1.5196,0.4850,0.7598,0.000983,2.9
12,1.4899,0.4949,0.7605,0.000979,2.9
13,1.4557,0.5089,0.7757,0.000976,2.9
14,1.4154,0.5022,0.7690,0.000971,2.9
15,1.3832,0.4841,0.7580,0.000967,2.9
16,1.3519,0.4996,0.7764,0.000962,2.9
17,1.3299,0.5068,0.7738,0.000957,2.9
18,1.3145,0.5133,0.7773,0.000951,3.0
19,1.2868,0.5156,0.7809,0.000946,2.9
20,1.2681,0.5112,0.7719,0.000939,2.9
21,1.2495,0.5089,0.7714,0.000933,2.9
22,1.2321,0.5228,0.7809,0.000926,2.9
23,1.2122,0.5416,0.7956,0.000919,2.9
24,1.1970,0.5179,0.7758,0.000912,2.9
25,1.1829,0.5219,0.7855,0.000905,2.9
26,1.1702,0.5251,0.7863,0.000897,2.9
27,1.1576,0.5335,0.7899,0.000889,2.9
28,1.1410,0.5318,0.7789,0.000880,3.0
29,1.1316,0.5340,0.7924,0.000872,2.9
30,1.1139,0.5328,0.7881,0.000863,2.9
31,1.1106,0.5273,0.7846,0.000854,2.9
32,1.0949,0.5319,0.7885,0.000844,2.9
33,1.0831,0.5491,0.7956,0.000835,2.9
34,1.0710,0.5364,0.7898,0.000825,2.9
35,1.0604,0.5433,0.7936,0.000815,2.9
36,1.0538,0.5408,0.7903,0.000804,2.9
37,1.0419,0.5402,0.7904,0.000794,2.9
38,1.0344,0.5384,0.7915,0.000783,2.9
39,1.0253,0.5535,0.8011,0.000772,3.0
40,1.0154,0.5462,0.7956,0.000761,2.9
41,1.0091,0.5328,0.7847,0.000750,2.9
42,0.9987,0.5444,0.7897,0.000739,2.9
43,0.9878,0.5454,0.7959,0.000727,2.9
44,0.9819,0.5356,0.7901,0.000715,2.9
45,0.9702,0.5426,0.7943,0.000703,3.0
46,0.9627,0.5527,0.7943,0.000691,2.9
47,0.9548,0.5559,0.7998,0.000679,2.9
48,0.9515,0.5403,0.7885,0.000667,2.9
49,0.9429,0.5592,0.7983,0.000655,3.0
50,0.9331,0.5491,0.7969,0.000642,2.9
51,0.9263,0.5484,0.7930,0.000629,2.9
52,0.9188,0.5533,0.7979,0.000617,2.9
53,0.9090,0.5548,0.7997,0.000604,2.9
54,0.9069,0.5468,0.7967,0.000591,2.9
55,0.8927,0.5479,0.7934,0.000578,2.9
56,0.8897,0.5618,0.8019,0.000565,2.9
57,0.8815,0.5486,0.7959,0.000552,2.9
58,0.8785,0.5553,0.7958,0.000539,2.9
59,0.8694,0.5584,0.8002,0.000526,3.0
60,0.8606,0.5573,0.8024,0.000513,2.9
61,0.8507,0.5533,0.7956,0.000500,2.9
62,0.8464,0.5706,0.8054,0.000487,2.9
63,0.8433,0.5541,0.7959,0.000474,2.9
64,0.8363,0.5624,0.8005,0.000461,2.9
65,0.8257,0.5651,0.8011,0.000448,2.9
66,0.8179,0.5618,0.8028,0.000435,2.9
67,0.8167,0.5683,0.7984,0.000422,2.9
68,0.8091,0.5595,0.8012,0.000409,3.0
69,0.7983,0.5586,0.7983,0.000396,2.9
70,0.7932,0.5602,0.7994,0.000383,3.0
71,0.7926,0.5554,0.7998,0.000371,2.9
72,0.7846,0.5584,0.7995,0.000358,2.9
73,0.7803,0.5601,0.7982,0.000345,3.0
74,0.7726,0.5565,0.7936,0.000333,2.9
75,0.7655,0.5684,0.8066,0.000321,2.9
76,0.7595,0.5602,0.8020,0.000309,2.9
77,0.7526,0.5752,0.8052,0.000297,2.9
78,0.7506,0.5626,0.8006,0.000285,2.9
79,0.7401,0.5671,0.8067,0.000273,2.9
80,0.7393,0.5679,0.8021,0.000261,3.0
81,0.7324,0.5663,0.8015,0.000250,2.9
82,0.7281,0.5637,0.8006,0.000239,2.9
83,0.7178,0.5681,0.8028,0.000228,2.9
84,0.7164,0.5728,0.8066,0.000217,2.9
85,0.7097,0.5679,0.7997,0.000206,2.9
86,0.7096,0.5724,0.8054,0.000196,3.0
87,0.6997,0.5728,0.8063,0.000185,2.9
88,0.6939,0.5693,0.8031,0.000175,3.0
89,0.6877,0.5670,0.8025,0.000165,2.9
90,0.6872,0.5700,0.8051,0.000156,3.0
91,0.6865,0.5672,0.8004,0.000146,3.0
92,0.6777,0.5673,0.8008,0.000137,2.9
93,0.6735,0.5712,0.8034,0.000128,2.9
94,0.6696,0.5719,0.8011,0.000120,2.9
95,0.6632,0.5731,0.8033,0.000111,2.9
96,0.6596,0.5760,0.8043,0.000103,2.9
97,0.6602,0.5693,0.8023,0.000095,2.9
98,0.6554,0.5746,0.8061,0.000088,2.9
99,0.6508,0.5742,0.8041,0.000081,3.0
100,0.6492,0.5699,0.8039,0.000074,3.0
101,0.6456,0.5756,0.8059,0.000067,2.9
102,0.6414,0.5736,0.8034,0.000061,2.9
103,0.6433,0.5706,0.8028,0.000054,2.9
104,0.6366,0.5750,0.8061,0.000049,2.9
