epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.6549,0.2676,0.5829,0.001000,2.7
2,2.5296,0.3605,0.6645,0.000999,2.3
3,2.1879,0.3681,0.6649,0.000997,2.3
4,1.9709,0.3881,0.6864,0.000994,2.2
5,1.8344,0.4249,0.7174,0.000989,2.2
6,1.7314,0.4336,0.7182,0.000983,2.2
7,1.6421,0.4473,0.7330,0.000976,2.2
8,1.5682,0.4393,0.7290,0.000967,2.2
9,1.5184,0.4737,0.7454,0.000957,2.2
10,1.4610,0.4702,0.7424,0.000946,2.2
11,1.4140,0.4812,0.7498,0.000933,2.3
12,1.3765,0.4818,0.7574,0.000919,2.3
13,1.3385,0.4957,0.7653,0.000905,2.2
14,1.3003,0.4947,0.7611,0.000889,2.2
15,1.2751,0.4934,0.7647,0.000872,2.2
16,1.2535,0.4922,0.7638,0.000854,2.2
17,1.2173,0.4951,0.7608,0.000835,2.3
18,1.1960,0.5030,0.7624,0.000815,2.2
19,1.1701,0.4975,0.7659,0.000794,2.3
20,1.1512,0.5064,0.7713,0.000772,2.2
21,1.1261,0.5029,0.7673,0.000750,2.2
22,1.1094,0.5035,0.7663,0.000727,2.2
23,1.0864,0.5179,0.7702,0.000703,2.2
24,1.0698,0.5198,0.7754,0.000679,2.3
25,1.0583,0.5291,0.7803,0.000655,2.2
26,1.0336,0.5220,0.7821,0.000629,2.3
27,1.0155,0.5268,0.7820,0.000604,2.3
28,0.9982,0.5144,0.7745,0.000578,2.2
29,0.9852,0.5255,0.7853,0.000552,2.2
30,0.9658,0.5250,0.7859,0.000526,2.4
31,0.9532,0.5215,0.7792,0.000500,2.2
32,0.9332,0.5268,0.7781,0.000474,2.2
33,0.9201,0.5431,0.7915,0.000448,2.2
34,0.9038,0.5324,0.7827,0.000422,2.2
35,0.8925,0.5382,0.7852,0.000396,2.2
36,0.8758,0.5332,0.7883,0.000371,2.2
37,0.8634,0.5368,0.7854,0.000345,2.2
38,0.8508,0.5308,0.7836,0.000321,2.2
39,0.8399,0.5350,0.7891,0.000297,2.3
40,0.8264,0.5342,0.7835,0.000273,2.2
41,0.8171,0.5345,0.7875,0.000250,2.2
42,0.8031,0.5306,0.7836,0.000228,2.2
43,0.7936,0.5357,0.7866,0.000206,2.3
44,0.7821,0.5339,0.7839,0.000185,2.2
45,0.7735,0.5404,0.7932,0.000165,2.2
46,0.7635,0.5407,0.7898,0.000146,2.2
47,0.7542,0.5401,0.7861,0.000128,2.2
48,0.7415,0.5380,0.7855,0.000111,2.2
49,0.7374,0.5446,0.7889,0.000095,2.2
50,0.7300,0.5424,0.7893,0.000081,2.2
51,0.7246,0.5407,0.7878,0.000067,2.2
52,0.7170,0.5409,0.7878,0.000054,2.2
53,0.7137,0.5398,0.7879,0.000043,2.2
54,0.7101,0.5411,0.7898,0.000033,2.3
55,0.7016,0.5423,0.7899,0.000024,2.3
56,0.7062,0.5469,0.7932,0.000017,2.2
57,0.7036,0.5425,0.7900,0.000011,2.4
58,0.6985,0.5442,0.7904,0.000006,2.3
59,0.6930,0.5424,0.7895,0.000003,2.2
60,0.6983,0.5417,0.7895,0.000001,2.2
