epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.6549,0.2676,0.5829,0.001000,2.8
2,2.5309,0.3477,0.6574,0.001000,2.5
3,2.1889,0.3732,0.6672,0.000999,2.3
4,1.9719,0.4005,0.6953,0.000998,2.3
5,1.8351,0.4215,0.7140,0.000997,2.3
6,1.7340,0.4287,0.7155,0.000996,2.3
7,1.6436,0.4476,0.7315,0.000994,2.3
8,1.5725,0.4462,0.7339,0.000992,2.4
9,1.5239,0.4728,0.7473,0.000989,2.4
10,1.4675,0.4702,0.7431,0.000986,2.4
11,1.4214,0.4766,0.7525,0.000983,2.4
12,1.3882,0.4807,0.7612,0.000979,2.4
13,1.3501,0.4919,0.7621,0.000976,2.4
14,1.3133,0.4805,0.7583,0.000971,2.3
15,1.2916,0.4816,0.7638,0.000967,2.5
16,1.2713,0.4935,0.7634,0.000962,2.6
17,1.2374,0.4935,0.7584,0.000957,2.4
18,1.2161,0.5012,0.7677,0.000951,2.4
19,1.1954,0.4863,0.7647,0.000946,2.4
20,1.1783,0.5039,0.7722,0.000939,2.5
21,1.1588,0.4989,0.7667,0.000933,2.5
22,1.1455,0.5025,0.7711,0.000926,2.5
23,1.1247,0.5088,0.7684,0.000919,2.6
24,1.1079,0.5091,0.7708,0.000912,2.5
25,1.1032,0.5163,0.7790,0.000905,2.5
26,1.0857,0.5148,0.7792,0.000897,2.6
27,1.0729,0.5142,0.7771,0.000889,2.5
28,1.0560,0.5126,0.7741,0.000880,2.5
29,1.0457,0.5227,0.7844,0.000872,2.5
30,1.0321,0.5162,0.7809,0.000863,2.5
31,1.0232,0.5194,0.7771,0.000854,2.5
32,1.0094,0.5198,0.7749,0.000844,2.5
33,0.9991,0.5294,0.7842,0.000835,2.5
34,0.9861,0.5268,0.7807,0.000825,2.5
35,0.9787,0.5245,0.7836,0.000815,2.5
36,0.9667,0.5231,0.7807,0.000804,2.5
37,0.9578,0.5276,0.7828,0.000794,2.6
38,0.9480,0.5221,0.7815,0.000783,2.6
39,0.9414,0.5270,0.7868,0.000772,2.6
40,0.9298,0.5187,0.7760,0.000761,2.5
41,0.9245,0.5249,0.7825,0.000750,2.5
42,0.9139,0.5261,0.7862,0.000739,2.6
43,0.9040,0.5241,0.7848,0.000727,2.5
44,0.8977,0.5250,0.7820,0.000715,2.4
45,0.8861,0.5227,0.7810,0.000703,2.4
46,0.8795,0.5345,0.7848,0.000691,2.5
47,0.8722,0.5312,0.7866,0.000679,2.5
48,0.8581,0.5257,0.7827,0.000667,2.5
49,0.8547,0.5354,0.7891,0.000655,2.4
50,0.8467,0.5358,0.7888,0.000642,2.5
51,0.8394,0.5327,0.7869,0.000629,2.5
52,0.8282,0.5314,0.7873,0.000617,2.5
53,0.8246,0.5391,0.7881,0.000604,2.5
54,0.8147,0.5296,0.7821,0.000591,2.5
55,0.8052,0.5415,0.7911,0.000578,2.5
56,0.8096,0.5440,0.7891,0.000565,2.5
57,0.7970,0.5352,0.7907,0.000552,2.5
58,0.7882,0.5398,0.7914,0.000539,2.5
59,0.7754,0.5349,0.7873,0.000526,2.5
60,0.7781,0.5410,0.7901,0.000513,2.4
61,0.7631,0.5369,0.7876,0.000500,2.5
62,0.7652,0.5380,0.7870,0.000487,2.6
63,0.7531,0.5401,0.7876,0.000474,2.5
64,0.7471,0.5410,0.7902,0.000461,2.5
65,0.7441,0.5422,0.7935,0.000448,2.5
66,0.7324,0.5419,0.7901,0.000435,2.5
67,0.7300,0.5423,0.7920,0.000422,2.5
68,0.7177,0.5364,0.7887,0.000409,2.5
69,0.7127,0.5367,0.7915,0.000396,2.5
70,0.7019,0.5449,0.7946,0.000383,2.5
71,0.7028,0.5433,0.7933,0.000371,2.5
72,0.6888,0.5386,0.7864,0.000358,2.5
73,0.6859,0.5354,0.7901,0.000345,2.5
74,0.6806,0.5400,0.7907,0.000333,2.5
75,0.6774,0.5444,0.7895,0.000321,2.5
76,0.6693,0.5436,0.7897,0.000309,2.5
77,0.6627,0.5495,0.7953,0.000297,2.5
78,0.6563,0.5462,0.7919,0.000285,2.5
79,0.6547,0.5388,0.7913,0.000273,2.5
80,0.6425,0.5427,0.7933,0.000261,2.5
81,0.6338,0.5446,0.7927,0.000250,2.5
82,0.6341,0.5417,0.7904,0.000239,2.5
83,0.6262,0.5400,0.7930,0.000228,2.5
84,0.6246,0.5420,0.7945,0.000217,2.5
85,0.6156,0.5432,0.7904,0.000206,2.5
86,0.6095,0.5467,0.7931,0.000196,2.5
87,0.6075,0.5405,0.7891,0.000185,2.5
88,0.6014,0.5431,0.7911,0.000175,2.5
89,0.5939,0.5439,0.7902,0.000165,2.5
90,0.5929,0.5439,0.7911,0.000156,2.5
91,0.5905,0.5420,0.7920,0.000146,2.4
92,0.5822,0.5435,0.7944,0.000137,2.5
93,0.5746,0.5485,0.7933,0.000128,2.5
94,0.5818,0.5482,0.7960,0.000120,2.5
95,0.5713,0.5479,0.7940,0.000111,2.5
96,0.5658,0.5444,0.7929,0.000103,2.5
97,0.5674,0.5475,0.7951,0.000095,2.6
98,0.5607,0.5474,0.7968,0.000088,2.6
99,0.5556,0.5488,0.7964,0.000081,2.5
100,0.5563,0.5454,0.7942,0.000074,2.6
101,0.5547,0.5478,0.7946,0.000067,2.6
102,0.5464,0.5481,0.7927,0.000061,2.5
103,0.5472,0.5497,0.7943,0.000054,2.5
104,0.5443,0.5515,0.7943,0.000049,2.4
105,0.5439,0.5493,0.7953,0.000043,2.5
106,0.5367,0.5490,0.7947,0.000038,2.5
107,0.5380,0.5410,0.7895,0.000033,2.5
108,0.5315,0.5519,0.7976,0.000029,2.5
109,0.5344,0.5528,0.7964,0.000024,2.5
110,0.5311,0.5474,0.7941,0.000021,2.5
111,0.5319,0.5494,0.7939,0.000017,2.5
112,0.5276,0.5499,0.7955,0.000014,2.5
113,0.5222,0.5498,0.7959,0.000011,2.5
114,0.5238,0.5468,0.7940,0.000008,2.5
115,0.5233,0.5511,0.7936,0.000006,2.5
116,0.5183,0.5550,0.7972,0.000004,2.5
117,0.5263,0.5517,0.7958,0.000003,2.5
118,0.5229,0.5479,0.7944,0.000002,2.5
119,0.5216,0.5514,0.7947,0.000001,2.5
120,0.5213,0.5492,0.7946,0.000000,2.4
