epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.6330,0.2656,0.5870,0.001000,2.9
2,2.5228,0.3441,0.6512,0.001000,2.4
3,2.1885,0.3837,0.6761,0.000999,2.4
4,1.9785,0.3940,0.6857,0.000998,2.4
5,1.8382,0.4167,0.7070,0.000997,2.4
6,1.7347,0.4518,0.7333,0.000996,2.4
7,1.6494,0.4411,0.7291,0.000994,2.4
8,1.5831,0.4417,0.7231,0.000992,2.5
9,1.5281,0.4767,0.7493,0.000989,2.6
10,1.4753,0.4730,0.7527,0.000986,2.8
11,1.4299,0.4778,0.7485,0.000983,2.6
12,1.3976,0.4938,0.7624,0.000979,2.7
13,1.3539,0.5000,0.7683,0.000976,2.6
14,1.3237,0.4788,0.7527,0.000971,2.5
15,1.2956,0.5010,0.7666,0.000967,2.4
16,1.2638,0.4957,0.7670,0.000962,2.6
17,1.2381,0.4949,0.7606,0.000957,2.6
18,1.2250,0.5043,0.7702,0.000951,2.7
19,1.1968,0.4986,0.7647,0.000946,2.5
20,1.1782,0.4951,0.7597,0.000939,2.3
21,1.1652,0.4958,0.7587,0.000933,2.4
22,1.1435,0.5068,0.7644,0.000926,2.3
23,1.1278,0.5189,0.7757,0.000919,2.4
24,1.1119,0.5102,0.7735,0.000912,2.3
25,1.0952,0.5162,0.7793,0.000905,2.3
26,1.0850,0.5160,0.7791,0.000897,2.3
27,1.0737,0.5034,0.7697,0.000889,2.3
28,1.0579,0.5000,0.7626,0.000880,2.3
29,1.0454,0.5160,0.7768,0.000872,2.3
30,1.0314,0.5071,0.7726,0.000863,2.4
31,1.0204,0.5177,0.7762,0.000854,2.3
32,1.0126,0.5135,0.7687,0.000844,2.5
33,1.0027,0.5267,0.7803,0.000835,2.3
34,0.9871,0.5179,0.7753,0.000825,2.3
35,0.9786,0.5221,0.7786,0.000815,2.3
36,0.9689,0.5229,0.7813,0.000804,2.4
37,0.9598,0.5225,0.7816,0.000794,2.4
38,0.9521,0.5166,0.7747,0.000783,2.3
39,0.9416,0.5243,0.7820,0.000772,2.3
40,0.9335,0.5147,0.7721,0.000761,2.3
41,0.9228,0.5257,0.7800,0.000750,2.3
42,0.9156,0.5295,0.7822,0.000739,2.4
43,0.9052,0.5204,0.7800,0.000727,2.4
44,0.9035,0.5296,0.7859,0.000715,2.4
45,0.8955,0.5208,0.7787,0.000703,2.4
46,0.8778,0.5274,0.7788,0.000691,2.4
47,0.8689,0.5261,0.7817,0.000679,2.3
48,0.8649,0.5225,0.7774,0.000667,2.3
49,0.8607,0.5338,0.7833,0.000655,2.3
50,0.8444,0.5133,0.7715,0.000642,2.3
51,0.8429,0.5189,0.7724,0.000629,2.3
52,0.8296,0.5281,0.7854,0.000617,2.3
53,0.8230,0.5297,0.7818,0.000604,2.4
54,0.8228,0.5291,0.7805,0.000591,2.4
55,0.8088,0.5423,0.7866,0.000578,2.3
56,0.8087,0.5390,0.7827,0.000565,2.4
57,0.7959,0.5352,0.7847,0.000552,2.5
58,0.7927,0.5338,0.7841,0.000539,2.4
59,0.7830,0.5370,0.7891,0.000526,2.4
60,0.7755,0.5341,0.7853,0.000513,2.4
61,0.7676,0.5301,0.7804,0.000500,2.3
62,0.7666,0.5378,0.7841,0.000487,2.4
63,0.7552,0.5270,0.7755,0.000474,2.3
64,0.7467,0.5335,0.7820,0.000461,2.3
65,0.7446,0.5391,0.7887,0.000448,2.3
66,0.7378,0.5355,0.7823,0.000435,2.3
67,0.7315,0.5405,0.7868,0.000422,2.4
