epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.7598,0.2587,0.5739,0.001000,3.5
2,2.6522,0.3274,0.6262,0.001000,2.6
3,2.3020,0.3622,0.6566,0.000999,2.6
4,2.0957,0.3963,0.6993,0.000998,2.5
5,1.9522,0.4369,0.7254,0.000997,2.7
6,1.8376,0.4339,0.7292,0.000996,2.5
7,1.7551,0.4712,0.7500,0.000994,2.6
8,1.6772,0.4545,0.7419,0.000992,2.5
9,1.6183,0.4736,0.7520,0.000989,2.5
10,1.5627,0.4626,0.7481,0.000986,2.5
11,1.5145,0.4655,0.7438,0.000983,2.6
12,1.4823,0.4847,0.7634,0.000979,2.6
13,1.4385,0.5022,0.7738,0.000976,2.5
14,1.4136,0.4953,0.7696,0.000971,2.6
15,1.3794,0.4896,0.7624,0.000967,2.6
16,1.3521,0.5045,0.7813,0.000962,2.6
17,1.3275,0.4961,0.7665,0.000957,2.7
18,1.3092,0.5093,0.7741,0.000951,2.6
19,1.2822,0.5052,0.7794,0.000946,2.6
20,1.2665,0.5085,0.7762,0.000939,2.6
21,1.2464,0.5159,0.7867,0.000933,2.6
22,1.2277,0.5176,0.7793,0.000926,2.5
23,1.2133,0.5195,0.7849,0.000919,2.7
24,1.1969,0.5249,0.7867,0.000912,2.6
25,1.1879,0.5282,0.7905,0.000905,2.6
26,1.1714,0.5225,0.7841,0.000897,2.5
27,1.1621,0.5247,0.7835,0.000889,2.5
28,1.1455,0.5126,0.7758,0.000880,2.7
29,1.1320,0.5223,0.7837,0.000872,2.6
30,1.1226,0.5310,0.7869,0.000863,2.6
31,1.1055,0.5256,0.7882,0.000854,2.5
32,1.0955,0.5280,0.7859,0.000844,2.6
33,1.0845,0.5414,0.7917,0.000835,2.6
34,1.0720,0.5307,0.7908,0.000825,2.5
35,1.0665,0.5327,0.7845,0.000815,2.5
36,1.0570,0.5315,0.7881,0.000804,2.5
37,1.0420,0.5299,0.7928,0.000794,2.6
38,1.0355,0.5393,0.7862,0.000783,2.6
39,1.0225,0.5367,0.7920,0.000772,2.6
40,1.0200,0.5462,0.7952,0.000761,2.6
41,1.0074,0.5432,0.7951,0.000750,2.6
42,1.0024,0.5410,0.7937,0.000739,2.6
43,0.9863,0.5354,0.7925,0.000727,2.6
44,0.9807,0.5453,0.7934,0.000715,2.6
45,0.9737,0.5503,0.7983,0.000703,2.5
46,0.9653,0.5468,0.7956,0.000691,2.5
47,0.9509,0.5354,0.7933,0.000679,2.6
48,0.9489,0.5328,0.7917,0.000667,2.6
49,0.9437,0.5423,0.7915,0.000655,2.5
50,0.9291,0.5400,0.7954,0.000642,2.5
51,0.9292,0.5437,0.7917,0.000629,2.5
52,0.9138,0.5449,0.7949,0.000617,2.6
53,0.9093,0.5463,0.7976,0.000604,2.6
54,0.9028,0.5444,0.7967,0.000591,2.5
55,0.8901,0.5490,0.7968,0.000578,2.6
56,0.8943,0.5625,0.8025,0.000565,2.6
57,0.8782,0.5501,0.7961,0.000552,2.6
58,0.8764,0.5598,0.8055,0.000539,2.6
59,0.8659,0.5439,0.7929,0.000526,2.6
60,0.8587,0.5524,0.8002,0.000513,2.5
61,0.8483,0.5515,0.7976,0.000500,2.6
62,0.8483,0.5562,0.8002,0.000487,2.6
63,0.8412,0.5510,0.8014,0.000474,2.6
64,0.8321,0.5497,0.7948,0.000461,2.6
65,0.8223,0.5490,0.8002,0.000448,2.6
66,0.8147,0.5537,0.7968,0.000435,2.6
67,0.8135,0.5677,0.8077,0.000422,2.5
68,0.8049,0.5462,0.7994,0.000409,2.5
69,0.7995,0.5587,0.8033,0.000396,2.6
70,0.7895,0.5539,0.8010,0.000383,2.6
71,0.7872,0.5582,0.8005,0.000371,2.6
72,0.7789,0.5581,0.8019,0.000358,2.6
73,0.7755,0.5582,0.8045,0.000345,2.6
74,0.7678,0.5521,0.7959,0.000333,2.6
75,0.7573,0.5574,0.8044,0.000321,2.7
76,0.7574,0.5574,0.7998,0.000309,2.5
77,0.7514,0.5683,0.8062,0.000297,2.5
78,0.7455,0.5635,0.8027,0.000285,2.4
79,0.7379,0.5577,0.8021,0.000273,2.5
80,0.7339,0.5608,0.8052,0.000261,2.5
81,0.7265,0.5609,0.8005,0.000250,2.5
82,0.7222,0.5572,0.7992,0.000239,2.5
83,0.7152,0.5627,0.8039,0.000228,2.5
84,0.7127,0.5633,0.8036,0.000217,2.6
85,0.7061,0.5536,0.7994,0.000206,2.5
86,0.7057,0.5628,0.8016,0.000196,2.6
87,0.6983,0.5649,0.8050,0.000185,2.7
88,0.6908,0.5587,0.8031,0.000175,2.5
89,0.6835,0.5598,0.8005,0.000165,2.5
90,0.6841,0.5663,0.8043,0.000156,2.6
91,0.6765,0.5554,0.7969,0.000146,2.5
92,0.6747,0.5578,0.7994,0.000137,2.5
93,0.6702,0.5600,0.8032,0.000128,2.5
94,0.6681,0.5650,0.8046,0.000120,2.5
95,0.6644,0.5666,0.8037,0.000111,2.5
96,0.6573,0.5675,0.8063,0.000103,2.5
97,0.6572,0.5662,0.8034,0.000095,2.5
98,0.6495,0.5681,0.8076,0.000088,2.5
99,0.6504,0.5638,0.8047,0.000081,2.7
100,0.6441,0.5667,0.8040,0.000074,2.5
101,0.6439,0.5686,0.8057,0.000067,2.5
102,0.6389,0.5682,0.8021,0.000061,2.5
103,0.6362,0.5658,0.8023,0.000054,2.5
104,0.6389,0.5736,0.8059,0.000049,2.5
105,0.6297,0.5686,0.8054,0.000043,2.5
106,0.6275,0.5684,0.8048,0.000038,2.5
107,0.6229,0.5611,0.7995,0.000033,2.5
108,0.6235,0.5720,0.8076,0.000029,2.5
109,0.6215,0.5707,0.8081,0.000024,2.5
110,0.6220,0.5667,0.8034,0.000021,2.4
111,0.6204,0.5681,0.8023,0.000017,2.5
112,0.6173,0.5720,0.8062,0.000014,2.5
113,0.6190,0.5701,0.8069,0.000011,2.5
114,0.6149,0.5655,0.8040,0.000008,2.5
115,0.6147,0.5695,0.8054,0.000006,2.5
116,0.6140,0.5735,0.8089,0.000004,2.5
117,0.6144,0.5699,0.8054,0.000003,2.5
118,0.6115,0.5691,0.8057,0.000002,2.6
119,0.6134,0.5715,0.8056,0.000001,2.5
120,0.6134,0.5691,0.8067,0.000000,2.5
