epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,4.1216,0.1225,0.3465,0.001000,2.5
2,2.9360,0.2613,0.5563,0.000999,2.1
3,2.4855,0.2986,0.6123,0.000997,2.2
4,2.2049,0.2816,0.5911,0.000994,2.2
5,2.0261,0.3336,0.6324,0.000989,2.1
6,1.9025,0.3125,0.6041,0.000983,2.2
7,1.7922,0.3416,0.6384,0.000976,2.2
8,1.6952,0.4091,0.7000,0.000967,2.2
9,1.6291,0.3814,0.6857,0.000957,2.2
10,1.5619,0.4112,0.6946,0.000946,2.2
11,1.5135,0.3615,0.6490,0.000933,2.2
12,1.4604,0.4211,0.7094,0.000919,2.3
13,1.4151,0.4136,0.7044,0.000905,2.2
14,1.3760,0.4150,0.6997,0.000889,2.2
15,1.3322,0.4391,0.7296,0.000872,2.2
16,1.3056,0.4035,0.6847,0.000854,2.1
17,1.2758,0.4278,0.7182,0.000835,2.2
18,1.2452,0.4345,0.7212,0.000815,2.2
19,1.2163,0.4458,0.7345,0.000794,2.2
20,1.1932,0.4949,0.7574,0.000772,2.2
21,1.1641,0.4339,0.7176,0.000750,2.2
22,1.1434,0.4562,0.7289,0.000727,2.2
23,1.1200,0.4471,0.7304,0.000703,2.2
24,1.0999,0.4721,0.7497,0.000679,2.2
25,1.0787,0.4639,0.7363,0.000655,2.2
26,1.0607,0.4666,0.7403,0.000629,2.3
27,1.0466,0.4591,0.7346,0.000604,2.2
28,1.0243,0.4781,0.7465,0.000578,2.2
29,1.0061,0.4952,0.7628,0.000552,2.2
30,0.9863,0.4843,0.7512,0.000526,2.2
31,0.9672,0.4971,0.7564,0.000500,2.1
32,0.9594,0.4896,0.7569,0.000474,2.2
33,0.9412,0.4837,0.7520,0.000448,2.2
34,0.9256,0.4922,0.7616,0.000422,2.2
35,0.9023,0.4923,0.7552,0.000396,2.2
36,0.8934,0.5030,0.7641,0.000371,2.2
37,0.8777,0.4948,0.7573,0.000345,2.2
38,0.8645,0.5161,0.7710,0.000321,2.2
39,0.8519,0.4990,0.7511,0.000297,2.2
40,0.8393,0.5150,0.7665,0.000273,2.3
41,0.8319,0.5209,0.7771,0.000250,2.2
42,0.8170,0.5077,0.7640,0.000228,2.2
43,0.8017,0.5039,0.7665,0.000206,2.2
44,0.7879,0.5214,0.7735,0.000185,2.2
45,0.7807,0.5094,0.7699,0.000165,2.2
46,0.7703,0.5140,0.7682,0.000146,2.2
47,0.7583,0.5182,0.7683,0.000128,2.2
48,0.7527,0.5196,0.7715,0.000111,2.2
49,0.7411,0.5172,0.7722,0.000095,2.2
50,0.7409,0.5237,0.7722,0.000081,2.2
51,0.7295,0.5257,0.7746,0.000067,2.2
52,0.7234,0.5228,0.7757,0.000054,2.2
53,0.7202,0.5295,0.7783,0.000043,2.3
54,0.7143,0.5293,0.7793,0.000033,2.2
55,0.7131,0.5252,0.7748,0.000024,2.2
56,0.7129,0.5234,0.7730,0.000017,2.2
57,0.7046,0.5228,0.7721,0.000011,2.2
58,0.7063,0.5241,0.7731,0.000006,2.2
59,0.6988,0.5275,0.7766,0.000003,2.2
60,0.7013,0.5318,0.7800,0.000001,2.2
