epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.6169,0.2655,0.5787,0.001000,3.8
2,2.5072,0.3189,0.6305,0.001000,2.8
3,2.1814,0.3738,0.6713,0.000999,2.7
4,1.9830,0.4061,0.6989,0.000998,2.7
5,1.8375,0.4311,0.7270,0.000997,2.5
6,1.7351,0.4494,0.7337,0.000996,2.6
7,1.6522,0.4478,0.7337,0.000994,2.5
8,1.5743,0.4522,0.7396,0.000992,2.5
9,1.5122,0.4595,0.7351,0.000989,2.6
10,1.4666,0.4818,0.7575,0.000986,2.6
11,1.4204,0.4844,0.7567,0.000983,2.5
12,1.3794,0.4855,0.7570,0.000979,2.6
13,1.3442,0.5018,0.7670,0.000976,2.6
14,1.3160,0.4800,0.7547,0.000971,2.6
15,1.2861,0.4953,0.7723,0.000967,2.8
16,1.2572,0.5080,0.7740,0.000962,2.6
17,1.2317,0.4995,0.7621,0.000957,2.6
18,1.2139,0.5046,0.7749,0.000951,2.6
19,1.1929,0.5143,0.7751,0.000946,2.6
20,1.1733,0.4985,0.7722,0.000939,2.6
21,1.1532,0.5007,0.7673,0.000933,2.6
22,1.1396,0.5113,0.7722,0.000926,2.6
23,1.1193,0.5056,0.7683,0.000919,2.6
24,1.1056,0.5011,0.7695,0.000912,2.6
25,1.0924,0.5151,0.7807,0.000905,2.6
26,1.0769,0.5125,0.7748,0.000897,2.6
27,1.0642,0.5047,0.7735,0.000889,2.6
28,1.0471,0.5121,0.7724,0.000880,2.6
29,1.0371,0.5244,0.7848,0.000872,2.6
30,1.0257,0.5160,0.7768,0.000863,2.6
31,1.0199,0.5185,0.7802,0.000854,2.5
32,1.0035,0.5076,0.7714,0.000844,2.6
33,0.9982,0.5240,0.7821,0.000835,2.6
34,0.9793,0.5215,0.7825,0.000825,2.6
35,0.9775,0.5169,0.7813,0.000815,2.6
36,0.9602,0.5261,0.7835,0.000804,2.6
37,0.9487,0.5268,0.7833,0.000794,2.6
38,0.9505,0.5263,0.7810,0.000783,2.7
39,0.9326,0.5228,0.7847,0.000772,2.6
40,0.9225,0.5255,0.7809,0.000761,2.6
41,0.9198,0.5241,0.7847,0.000750,2.6
42,0.9114,0.5207,0.7738,0.000739,2.5
43,0.8996,0.5238,0.7828,0.000727,2.6
44,0.8923,0.5262,0.7839,0.000715,2.5
45,0.8840,0.5198,0.7836,0.000703,2.6
46,0.8724,0.5244,0.7843,0.000691,2.5
47,0.8667,0.5335,0.7894,0.000679,2.5
48,0.8565,0.5241,0.7830,0.000667,2.5
49,0.8535,0.5291,0.7846,0.000655,2.5
50,0.8407,0.5252,0.7809,0.000642,2.7
51,0.8378,0.5302,0.7845,0.000629,2.5
52,0.8208,0.5337,0.7865,0.000617,2.5
53,0.8165,0.5306,0.7846,0.000604,2.6
54,0.8153,0.5384,0.7868,0.000591,2.5
55,0.8061,0.5361,0.7875,0.000578,2.5
56,0.7992,0.5443,0.7918,0.000565,2.6
57,0.7922,0.5405,0.7857,0.000552,2.6
58,0.7851,0.5387,0.7857,0.000539,2.6
59,0.7741,0.5279,0.7801,0.000526,2.6
60,0.7734,0.5339,0.7881,0.000513,2.5
61,0.7544,0.5407,0.7906,0.000500,2.6
62,0.7579,0.5325,0.7830,0.000487,2.6
63,0.7517,0.5360,0.7887,0.000474,2.6
64,0.7401,0.5435,0.7885,0.000461,2.5
65,0.7333,0.5392,0.7875,0.000448,2.6
66,0.7310,0.5462,0.7886,0.000435,2.5
67,0.7208,0.5429,0.7899,0.000422,2.5
68,0.7139,0.5388,0.7891,0.000409,2.5
69,0.7080,0.5488,0.7922,0.000396,2.5
70,0.6983,0.5501,0.7972,0.000383,2.5
71,0.6960,0.5441,0.7907,0.000371,2.5
72,0.6869,0.5430,0.7865,0.000358,2.5
73,0.6854,0.5430,0.7906,0.000345,2.5
74,0.6768,0.5374,0.7871,0.000333,2.6
75,0.6697,0.5497,0.7940,0.000321,2.5
76,0.6661,0.5539,0.7943,0.000309,2.5
77,0.6618,0.5566,0.7937,0.000297,2.5
78,0.6516,0.5437,0.7883,0.000285,2.5
79,0.6464,0.5421,0.7914,0.000273,2.6
80,0.6442,0.5408,0.7896,0.000261,2.5
81,0.6350,0.5504,0.7930,0.000250,2.5
82,0.6308,0.5531,0.7911,0.000239,2.5
83,0.6214,0.5464,0.7909,0.000228,2.5
84,0.6196,0.5496,0.7927,0.000217,2.6
85,0.6155,0.5449,0.7888,0.000206,2.7
86,0.6083,0.5502,0.7900,0.000196,2.5
87,0.6024,0.5481,0.7896,0.000185,2.6
88,0.5982,0.5496,0.7932,0.000175,2.6
89,0.5926,0.5428,0.7885,0.000165,3.0
90,0.5880,0.5550,0.7924,0.000156,2.6
91,0.5849,0.5498,0.7903,0.000146,2.6
92,0.5825,0.5511,0.7901,0.000137,2.5
93,0.5776,0.5517,0.7911,0.000128,2.5
94,0.5731,0.5498,0.7898,0.000120,2.5
95,0.5663,0.5536,0.7930,0.000111,2.5
96,0.5642,0.5523,0.7936,0.000103,2.5
97,0.5582,0.5535,0.7914,0.000095,2.6
98,0.5594,0.5560,0.7926,0.000088,2.5
99,0.5555,0.5515,0.7911,0.000081,2.6
100,0.5501,0.5493,0.7906,0.000074,2.5
101,0.5525,0.5508,0.7918,0.000067,2.6
102,0.5460,0.5529,0.7906,0.000061,2.5
103,0.5429,0.5504,0.7908,0.000054,2.6
104,0.5386,0.5538,0.7933,0.000049,2.6
105,0.5388,0.5532,0.7929,0.000043,2.5
106,0.5335,0.5515,0.7916,0.000038,2.5
107,0.5350,0.5458,0.7868,0.000033,2.6
108,0.5309,0.5553,0.7948,0.000029,2.6
109,0.5275,0.5594,0.7954,0.000024,2.6
110,0.5292,0.5550,0.7916,0.000021,2.6
111,0.5269,0.5555,0.7922,0.000017,3.1
112,0.5219,0.5563,0.7937,0.000014,3.1
113,0.5255,0.5560,0.7943,0.000011,3.4
114,0.5196,0.5537,0.7930,0.000008,2.9
115,0.5217,0.5558,0.7925,0.000006,3.4
116,0.5159,0.5579,0.7956,0.000004,3.0
117,0.5214,0.5579,0.7933,0.000003,2.8
118,0.5181,0.5557,0.7919,0.000002,2.8
119,0.5232,0.5559,0.7934,0.000001,2.8
120,0.5204,0.5551,0.7924,0.000000,2.6
