epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,4.5249,0.1123,0.3378,0.001000,2.6
2,3.4514,0.2030,0.4766,0.000999,2.3
3,2.9633,0.2636,0.5508,0.000997,2.5
4,2.6475,0.3174,0.6159,0.000994,2.1
5,2.4182,0.3419,0.6458,0.000989,2.2
6,2.2485,0.3778,0.6746,0.000983,2.1
7,2.1197,0.3796,0.6743,0.000976,2.1
8,2.0156,0.3804,0.6763,0.000967,2.2
9,1.9289,0.4067,0.6910,0.000957,2.5
10,1.8603,0.4142,0.7010,0.000946,3.1
11,1.8240,0.3988,0.6932,0.000933,2.2
12,1.7352,0.4350,0.7130,0.000919,2.7
13,1.6840,0.4270,0.7118,0.000905,2.5
14,1.6477,0.4460,0.7258,0.000889,2.4
15,1.6036,0.4307,0.7164,0.000872,2.7
16,1.5597,0.4333,0.7218,0.000854,3.0
17,1.5282,0.4496,0.7261,0.000835,3.2
18,1.4901,0.4483,0.7269,0.000815,3.0
19,1.4559,0.4502,0.7306,0.000794,2.7
20,1.4323,0.4407,0.7212,0.000772,2.7
21,1.4012,0.4602,0.7366,0.000750,2.3
22,1.3726,0.4512,0.7373,0.000727,2.1
23,1.3522,0.4743,0.7482,0.000703,2.0
24,1.3256,0.4613,0.7374,0.000679,2.0
25,1.3041,0.4695,0.7441,0.000655,2.0
26,1.2868,0.4673,0.7439,0.000629,2.0
27,1.2582,0.4636,0.7413,0.000604,2.0
28,1.2454,0.4710,0.7431,0.000578,2.0
29,1.2257,0.4586,0.7429,0.000552,2.0
30,1.2058,0.4701,0.7396,0.000526,2.0
31,1.1908,0.4663,0.7344,0.000500,2.0
32,1.1729,0.4724,0.7433,0.000474,2.0
33,1.1556,0.4757,0.7474,0.000448,2.0
34,1.1453,0.4708,0.7420,0.000422,2.0
35,1.1218,0.4735,0.7429,0.000396,2.0
36,1.1079,0.4739,0.7447,0.000371,2.0
37,1.0979,0.4854,0.7514,0.000345,1.9
38,1.0851,0.4763,0.7456,0.000321,2.0
39,1.0713,0.4740,0.7446,0.000297,2.0
40,1.0638,0.4772,0.7478,0.000273,2.0
41,1.0468,0.4850,0.7519,0.000250,2.0
42,1.0395,0.4721,0.7430,0.000228,2.0
43,1.0295,0.4822,0.7498,0.000206,2.0
44,1.0209,0.4794,0.7479,0.000185,2.0
45,1.0055,0.4780,0.7454,0.000165,2.0
46,1.0010,0.4786,0.7451,0.000146,2.1
47,0.9968,0.4822,0.7462,0.000128,2.3
48,0.9852,0.4802,0.7442,0.000111,2.4
49,0.9800,0.4855,0.7482,0.000095,2.1
50,0.9731,0.4857,0.7480,0.000081,2.0
51,0.9664,0.4808,0.7450,0.000067,2.0
52,0.9608,0.4802,0.7472,0.000054,1.9
53,0.9587,0.4837,0.7471,0.000043,1.9
54,0.9531,0.4826,0.7462,0.000033,1.9
55,0.9545,0.4826,0.7455,0.000024,2.1
56,0.9532,0.4812,0.7455,0.000017,2.3
57,0.9513,0.4813,0.7448,0.000011,2.1
58,0.9465,0.4822,0.7463,0.000006,1.9
59,0.9432,0.4822,0.7458,0.000003,2.0
60,0.9437,0.4819,0.7459,0.000001,2.0
