epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.7945,0.1838,0.4678,0.001000,3.0
2,2.6977,0.2694,0.5758,0.000999,3.0
3,2.3577,0.2918,0.5996,0.000997,2.9
4,2.1567,0.3373,0.6498,0.000994,2.9
5,2.0142,0.3276,0.6438,0.000989,2.9
6,1.9157,0.3470,0.6631,0.000983,2.9
7,1.8304,0.3682,0.6840,0.000976,2.4
8,1.7544,0.3440,0.6623,0.000967,2.4
9,1.6949,0.3685,0.6779,0.000957,2.5
10,1.6545,0.3672,0.6675,0.000946,2.4
11,1.6090,0.4027,0.7070,0.000933,2.4
12,1.5626,0.4128,0.7182,0.000919,2.4
13,1.5256,0.3933,0.6990,0.000905,2.4
14,1.5007,0.3979,0.7010,0.000889,2.3
15,1.4647,0.4140,0.7179,0.000872,2.4
16,1.4424,0.3868,0.6923,0.000854,2.5
17,1.4084,0.4150,0.7203,0.000835,2.4
18,1.3887,0.4128,0.7165,0.000815,2.3
19,1.3577,0.4034,0.7103,0.000794,2.4
20,1.3413,0.4137,0.7154,0.000772,2.4
21,1.3025,0.3897,0.6886,0.000750,2.4
22,1.2938,0.4197,0.7178,0.000727,2.4
23,1.2719,0.3994,0.7015,0.000703,2.4
24,1.2452,0.4185,0.7234,0.000679,2.5
25,1.2261,0.3981,0.7039,0.000655,2.4
26,1.2093,0.4183,0.7202,0.000629,2.4
27,1.1940,0.4192,0.7200,0.000604,2.4
28,1.1766,0.4207,0.7211,0.000578,2.5
29,1.1520,0.4371,0.7311,0.000552,2.4
30,1.1336,0.4385,0.7333,0.000526,2.4
31,1.1198,0.4385,0.7289,0.000500,2.4
32,1.1045,0.4305,0.7211,0.000474,2.4
33,1.0845,0.4350,0.7279,0.000448,2.4
34,1.0735,0.4354,0.7296,0.000422,2.8
35,1.0560,0.4342,0.7338,0.000396,2.6
36,1.0414,0.4269,0.7232,0.000371,2.5
37,1.0201,0.4322,0.7308,0.000345,2.5
38,1.0133,0.4485,0.7450,0.000321,2.4
39,1.0002,0.4369,0.7303,0.000297,2.4
40,0.9844,0.4441,0.7381,0.000273,2.6
41,0.9714,0.4441,0.7379,0.000250,2.6
42,0.9584,0.4502,0.7417,0.000228,2.7
43,0.9430,0.4508,0.7394,0.000206,2.5
44,0.9294,0.4428,0.7360,0.000185,2.7
45,0.9232,0.4512,0.7385,0.000165,2.4
46,0.9116,0.4395,0.7288,0.000146,2.4
47,0.8978,0.4536,0.7442,0.000128,2.5
48,0.8917,0.4513,0.7392,0.000111,2.4
49,0.8841,0.4514,0.7440,0.000095,2.4
50,0.8769,0.4528,0.7440,0.000081,2.4
51,0.8600,0.4528,0.7465,0.000067,2.4
52,0.8600,0.4553,0.7416,0.000054,2.5
53,0.8542,0.4570,0.7463,0.000043,2.4
54,0.8481,0.4596,0.7476,0.000033,2.5
55,0.8442,0.4529,0.7394,0.000024,2.4
56,0.8433,0.4559,0.7431,0.000017,2.5
57,0.8420,0.4554,0.7430,0.000011,2.7
58,0.8396,0.4542,0.7408,0.000006,2.6
59,0.8338,0.4554,0.7446,0.000003,2.7
60,0.8380,0.4580,0.7439,0.000001,2.5
