epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.7630,0.2250,0.5122,0.001000,3.6
2,2.6484,0.3363,0.6483,0.001000,3.1
3,2.3020,0.3825,0.6872,0.000999,3.3
4,2.0915,0.3952,0.6906,0.000998,3.2
5,1.9479,0.4428,0.7311,0.000997,3.2
6,1.8399,0.4251,0.7218,0.000996,3.2
7,1.7566,0.4326,0.7199,0.000994,3.2
8,1.6879,0.4325,0.7250,0.000992,3.2
9,1.6280,0.4564,0.7463,0.000989,3.1
10,1.5709,0.4714,0.7500,0.000986,3.1
11,1.5293,0.4806,0.7589,0.000983,3.2
12,1.4914,0.4875,0.7563,0.000979,3.2
13,1.4472,0.4753,0.7502,0.000976,3.2
14,1.4267,0.4983,0.7716,0.000971,3.2
15,1.3897,0.4886,0.7619,0.000967,3.1
16,1.3639,0.4977,0.7568,0.000962,3.3
17,1.3381,0.5124,0.7738,0.000957,3.5
18,1.3148,0.5011,0.7712,0.000951,3.2
19,1.2969,0.5025,0.7735,0.000946,3.3
20,1.2717,0.5177,0.7751,0.000939,3.1
21,1.2494,0.5254,0.7781,0.000933,3.2
22,1.2380,0.5012,0.7677,0.000926,3.2
23,1.2248,0.5172,0.7765,0.000919,3.2
24,1.2060,0.5308,0.7855,0.000912,3.1
25,1.1894,0.5209,0.7833,0.000905,3.2
26,1.1793,0.5216,0.7757,0.000897,3.2
27,1.1595,0.5274,0.7884,0.000889,3.2
28,1.1484,0.5329,0.7918,0.000880,3.2
29,1.1368,0.5223,0.7780,0.000872,3.1
30,1.1189,0.5258,0.7803,0.000863,3.1
31,1.1178,0.5311,0.7849,0.000854,3.2
32,1.0962,0.5286,0.7836,0.000844,3.1
33,1.0846,0.5447,0.7957,0.000835,3.2
34,1.0732,0.5300,0.7817,0.000825,3.1
35,1.0618,0.5461,0.7976,0.000815,3.1
36,1.0580,0.5411,0.7903,0.000804,3.2
37,1.0503,0.5283,0.7809,0.000794,3.2
38,1.0321,0.5495,0.7973,0.000783,3.1
39,1.0261,0.5520,0.7976,0.000772,3.2
