epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.8889,0.2397,0.5385,0.001000,4.4
2,2.6740,0.3446,0.6535,0.001000,3.7
3,2.2870,0.3631,0.6609,0.000999,3.6
4,2.0600,0.3873,0.6850,0.000998,3.6
5,1.9087,0.4485,0.7354,0.000997,3.6
6,1.7879,0.4455,0.7284,0.000996,3.6
7,1.6960,0.4731,0.7481,0.000994,3.7
8,1.6273,0.4708,0.7533,0.000992,3.7
9,1.5698,0.4910,0.7619,0.000989,3.5
10,1.5110,0.4899,0.7593,0.000986,3.7
11,1.4664,0.5005,0.7631,0.000983,3.7
12,1.4275,0.5012,0.7676,0.000979,3.8
13,1.3907,0.5051,0.7705,0.000976,3.9
14,1.3657,0.4975,0.7596,0.000971,3.6
15,1.3253,0.5055,0.7681,0.000967,3.8
16,1.2985,0.5016,0.7666,0.000962,3.8
17,1.2792,0.5023,0.7663,0.000957,3.6
18,1.2550,0.5219,0.7844,0.000951,3.5
19,1.2310,0.5068,0.7709,0.000946,3.1
20,1.2173,0.5137,0.7722,0.000939,3.1
21,1.1989,0.5170,0.7788,0.000933,3.1
22,1.1765,0.5117,0.7764,0.000926,3.1
23,1.1619,0.5160,0.7801,0.000919,3.1
24,1.1444,0.5237,0.7833,0.000912,3.1
25,1.1313,0.5107,0.7737,0.000905,3.1
26,1.1128,0.5265,0.7830,0.000897,3.1
27,1.1076,0.5219,0.7799,0.000889,3.1
28,1.0927,0.5341,0.7846,0.000880,3.0
29,1.0764,0.5291,0.7856,0.000872,3.0
30,1.0691,0.5345,0.7924,0.000863,3.1
31,1.0486,0.5337,0.7898,0.000854,3.1
32,1.0481,0.5342,0.7855,0.000844,3.1
33,1.0355,0.5315,0.7862,0.000835,3.0
34,1.0245,0.5455,0.7944,0.000825,3.2
35,1.0144,0.5250,0.7820,0.000815,3.1
36,1.0025,0.5354,0.7868,0.000804,3.3
37,0.9950,0.5367,0.7888,0.000794,3.1
38,0.9844,0.5433,0.7909,0.000783,3.7
39,0.9727,0.5367,0.7888,0.000772,3.1
40,0.9603,0.5210,0.7841,0.000761,3.1
41,0.9614,0.5390,0.7914,0.000750,3.1
42,0.9537,0.5413,0.7920,0.000739,3.1
43,0.9435,0.5410,0.7954,0.000727,3.0
44,0.9314,0.5335,0.7855,0.000715,3.1
45,0.9251,0.5546,0.7973,0.000703,3.3
46,0.9137,0.5374,0.7881,0.000691,3.3
47,0.9084,0.5479,0.7967,0.000679,3.3
48,0.9028,0.5600,0.8040,0.000667,3.0
49,0.8912,0.5511,0.7921,0.000655,3.2
50,0.8882,0.5472,0.7911,0.000642,3.1
51,0.8778,0.5577,0.7967,0.000629,3.0
52,0.8754,0.5482,0.7979,0.000617,3.1
53,0.8605,0.5531,0.7969,0.000604,3.2
54,0.8616,0.5553,0.7995,0.000591,3.1
55,0.8508,0.5524,0.7985,0.000578,3.0
56,0.8434,0.5536,0.7981,0.000565,3.0
57,0.8335,0.5504,0.7999,0.000552,3.0
58,0.8250,0.5563,0.8026,0.000539,3.0
59,0.8218,0.5481,0.7938,0.000526,3.1
60,0.8148,0.5475,0.7944,0.000513,3.0
61,0.8087,0.5481,0.7947,0.000500,3.0
62,0.7941,0.5491,0.7890,0.000487,3.0
63,0.7891,0.5569,0.7992,0.000474,3.0
64,0.7894,0.5488,0.7937,0.000461,3.2
65,0.7758,0.5608,0.7968,0.000448,3.0
66,0.7700,0.5522,0.7933,0.000435,3.0
67,0.7679,0.5557,0.7947,0.000422,3.1
68,0.7617,0.5595,0.8016,0.000409,3.1
69,0.7566,0.5601,0.8010,0.000396,3.0
70,0.7420,0.5492,0.7962,0.000383,3.1
71,0.7424,0.5549,0.7993,0.000371,3.0
72,0.7347,0.5570,0.8003,0.000358,3.3
73,0.7275,0.5582,0.7978,0.000345,3.2
74,0.7235,0.5646,0.8041,0.000333,3.0
75,0.7148,0.5533,0.7937,0.000321,3.0
76,0.7136,0.5448,0.7909,0.000309,3.0
77,0.7074,0.5568,0.7992,0.000297,3.0
78,0.6996,0.5594,0.7997,0.000285,3.0
79,0.6970,0.5567,0.7995,0.000273,3.0
80,0.6810,0.5650,0.8018,0.000261,3.0
81,0.6837,0.5634,0.8016,0.000250,3.1
82,0.6796,0.5650,0.8047,0.000239,3.1
83,0.6763,0.5629,0.8018,0.000228,3.1
84,0.6666,0.5569,0.7952,0.000217,3.1
85,0.6655,0.5670,0.8030,0.000206,3.0
86,0.6604,0.5683,0.8052,0.000196,3.0
87,0.6539,0.5644,0.8017,0.000185,3.0
88,0.6497,0.5660,0.8004,0.000175,3.1
89,0.6438,0.5648,0.8037,0.000165,3.0
90,0.6349,0.5621,0.7998,0.000156,3.0
91,0.6329,0.5680,0.8041,0.000146,3.0
92,0.6315,0.5677,0.8054,0.000137,3.1
