epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.7446,0.2575,0.5620,0.001000,2.6
2,2.5318,0.3212,0.6329,0.000999,2.3
3,2.1375,0.3790,0.6730,0.000997,2.4
4,1.9192,0.3940,0.6945,0.000994,2.3
5,1.7784,0.4036,0.6999,0.000989,2.3
6,1.6600,0.4460,0.7263,0.000983,2.3
7,1.5745,0.3956,0.6971,0.000976,2.2
8,1.5045,0.4576,0.7427,0.000967,2.2
9,1.4467,0.4675,0.7509,0.000957,2.2
10,1.3878,0.4422,0.7176,0.000946,2.3
11,1.3510,0.4691,0.7481,0.000933,2.2
12,1.3105,0.4821,0.7584,0.000919,2.2
13,1.2668,0.4685,0.7445,0.000905,2.3
14,1.2364,0.4758,0.7547,0.000889,2.2
15,1.2030,0.4818,0.7560,0.000872,2.2
16,1.1739,0.4861,0.7580,0.000854,2.2
17,1.1490,0.4783,0.7507,0.000835,2.2
18,1.1250,0.4880,0.7586,0.000815,2.3
19,1.0964,0.4847,0.7642,0.000794,2.2
20,1.0792,0.5027,0.7750,0.000772,2.2
21,1.0556,0.5072,0.7702,0.000750,2.2
22,1.0405,0.4974,0.7661,0.000727,2.2
23,1.0147,0.5013,0.7711,0.000703,2.3
24,0.9961,0.5067,0.7783,0.000679,2.2
25,0.9799,0.4888,0.7646,0.000655,2.2
26,0.9589,0.4983,0.7718,0.000629,2.2
27,0.9410,0.5059,0.7720,0.000604,2.2
28,0.9265,0.5029,0.7702,0.000578,2.3
29,0.9111,0.5054,0.7752,0.000552,2.2
30,0.8916,0.5072,0.7676,0.000526,2.2
31,0.8759,0.4994,0.7634,0.000500,2.2
32,0.8638,0.5201,0.7814,0.000474,2.2
33,0.8491,0.5196,0.7823,0.000448,2.2
34,0.8344,0.5289,0.7867,0.000422,2.2
35,0.8195,0.5228,0.7813,0.000396,2.2
36,0.8038,0.5127,0.7790,0.000371,2.2
37,0.7902,0.5159,0.7779,0.000345,2.2
38,0.7789,0.5205,0.7836,0.000321,2.2
39,0.7648,0.5200,0.7862,0.000297,2.2
40,0.7561,0.5263,0.7878,0.000273,2.2
41,0.7407,0.5243,0.7823,0.000250,2.2
42,0.7268,0.5309,0.7864,0.000228,2.2
43,0.7137,0.5272,0.7829,0.000206,2.2
44,0.7060,0.5251,0.7846,0.000185,2.2
45,0.6966,0.5221,0.7797,0.000165,2.3
46,0.6896,0.5248,0.7862,0.000146,2.2
47,0.6789,0.5399,0.7920,0.000128,2.2
48,0.6749,0.5272,0.7852,0.000111,2.2
49,0.6667,0.5243,0.7834,0.000095,2.2
50,0.6571,0.5277,0.7842,0.000081,2.2
51,0.6497,0.5280,0.7865,0.000067,2.2
52,0.6479,0.5230,0.7820,0.000054,2.2
53,0.6419,0.5351,0.7905,0.000043,2.2
54,0.6319,0.5226,0.7821,0.000033,2.3
55,0.6348,0.5252,0.7840,0.000024,2.2
56,0.6321,0.5299,0.7871,0.000017,2.2
57,0.6307,0.5299,0.7875,0.000011,2.2
58,0.6207,0.5309,0.7855,0.000006,2.2
59,0.6225,0.5311,0.7868,0.000003,2.3
60,0.6238,0.5302,0.7878,0.000001,2.2
