epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,4.5567,0.1170,0.3402,0.001000,2.2
2,3.3664,0.2100,0.4971,0.000999,2.0
3,2.8154,0.2721,0.5660,0.000997,2.0
4,2.4909,0.3312,0.6212,0.000994,2.0
5,2.2745,0.3373,0.6410,0.000989,1.9
6,2.1022,0.3628,0.6553,0.000983,1.9
7,1.9754,0.3840,0.6696,0.000976,1.9
8,1.8702,0.4080,0.6922,0.000967,1.9
9,1.7825,0.4102,0.6957,0.000957,1.9
10,1.6996,0.4167,0.6987,0.000946,1.9
11,1.6437,0.4260,0.7082,0.000933,1.9
12,1.5790,0.4182,0.7030,0.000919,1.9
13,1.5303,0.4451,0.7177,0.000905,1.9
14,1.4828,0.4277,0.7102,0.000889,1.9
15,1.4467,0.4434,0.7244,0.000872,1.9
16,1.4064,0.4603,0.7330,0.000854,1.9
17,1.3681,0.4645,0.7283,0.000835,1.9
18,1.3315,0.4538,0.7282,0.000815,1.9
19,1.3069,0.4578,0.7293,0.000794,2.0
20,1.2818,0.4580,0.7236,0.000772,1.9
21,1.2526,0.4567,0.7250,0.000750,1.9
22,1.2307,0.4681,0.7360,0.000727,1.9
23,1.2034,0.4641,0.7338,0.000703,2.0
24,1.1761,0.4798,0.7421,0.000679,2.0
25,1.1606,0.4686,0.7371,0.000655,1.9
26,1.1375,0.4655,0.7312,0.000629,1.9
27,1.1190,0.4748,0.7426,0.000604,1.9
28,1.0988,0.4694,0.7397,0.000578,1.9
29,1.0737,0.4616,0.7287,0.000552,1.9
30,1.0594,0.4756,0.7382,0.000526,1.9
31,1.0398,0.4847,0.7480,0.000500,2.0
32,1.0256,0.4779,0.7417,0.000474,1.9
33,1.0064,0.4782,0.7426,0.000448,1.9
34,0.9865,0.4749,0.7432,0.000422,1.9
35,0.9741,0.4838,0.7467,0.000396,2.0
36,0.9598,0.4785,0.7432,0.000371,1.9
37,0.9490,0.4809,0.7410,0.000345,1.9
38,0.9363,0.4784,0.7413,0.000321,1.9
39,0.9296,0.4808,0.7415,0.000297,1.9
40,0.9075,0.4815,0.7388,0.000273,1.9
41,0.8965,0.4724,0.7391,0.000250,1.9
42,0.8841,0.4808,0.7416,0.000228,1.9
43,0.8743,0.4795,0.7417,0.000206,1.9
44,0.8626,0.4763,0.7413,0.000185,1.9
45,0.8548,0.4799,0.7469,0.000165,1.9
46,0.8456,0.4757,0.7411,0.000146,1.9
47,0.8386,0.4763,0.7403,0.000128,1.9
48,0.8296,0.4756,0.7371,0.000111,1.9
49,0.8190,0.4733,0.7367,0.000095,1.9
50,0.8137,0.4808,0.7429,0.000081,1.9
51,0.8121,0.4796,0.7423,0.000067,2.0
52,0.8042,0.4768,0.7404,0.000054,1.9
53,0.8009,0.4801,0.7418,0.000043,1.9
54,0.7933,0.4810,0.7432,0.000033,1.9
55,0.7954,0.4820,0.7434,0.000024,1.9
56,0.7922,0.4837,0.7427,0.000017,1.9
57,0.7882,0.4812,0.7426,0.000011,1.9
58,0.7838,0.4812,0.7437,0.000006,1.9
59,0.7868,0.4818,0.7432,0.000003,1.9
60,0.7818,0.4813,0.7430,0.000001,1.9
