epoch,train_loss,val_top1,val_top5,epoch_seconds
1,3.7053,0.2377,0.5424,3.7
2,2.5210,0.3220,0.6342,2.6
3,2.1486,0.3571,0.6604,2.4
4,1.9223,0.4049,0.6983,2.5
5,1.7711,0.4086,0.7061,2.4
6,1.6642,0.4457,0.7299,2.3
7,1.5714,0.4473,0.7376,2.3
8,1.4992,0.4079,0.7008,2.3
9,1.4400,0.4603,0.7325,2.4
10,1.3921,0.4607,0.7412,2.4
11,1.3499,0.4860,0.7624,2.3
12,1.3080,0.5000,0.7683,2.4
13,1.2735,0.4734,0.7497,2.4
14,1.2405,0.4740,0.7447,2.3
15,1.2149,0.5063,0.7706,2.4
16,1.1885,0.4863,0.7631,2.5
17,1.1724,0.4994,0.7650,2.4
18,1.1469,0.4940,0.7663,2.4
19,1.1281,0.5162,0.7798,2.4
20,1.1120,0.4945,0.7642,2.3
21,1.0896,0.4860,0.7570,2.3
22,1.0825,0.4987,0.7642,2.3
23,1.0676,0.5063,0.7669,2.4
24,1.0466,0.4936,0.7642,2.4
25,1.0366,0.4965,0.7668,2.3
26,1.0287,0.4952,0.7679,2.3
27,1.0154,0.4792,0.7482,2.4
28,1.0036,0.4902,0.7637,2.3
29,0.9989,0.5096,0.7794,2.5
