epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.7446,0.2575,0.5620,0.001000,2.5
2,2.5324,0.3159,0.6283,0.001000,2.2
3,2.1393,0.3769,0.6743,0.001000,2.2
4,1.9213,0.3924,0.6899,0.001000,2.2
5,1.7799,0.4020,0.7002,0.001000,2.2
6,1.6622,0.4431,0.7244,0.001000,2.2
7,1.5782,0.4008,0.7021,0.001000,2.2
8,1.5089,0.4580,0.7416,0.001000,2.3
9,1.4528,0.4610,0.7470,0.001000,2.2
10,1.3969,0.4432,0.7221,0.001000,2.2
11,1.3602,0.4687,0.7481,0.001000,2.2
12,1.3237,0.4802,0.7600,0.001000,2.2
13,1.2823,0.4627,0.7439,0.001000,2.2
14,1.2549,0.4766,0.7545,0.001000,2.2
15,1.2245,0.4736,0.7481,0.001000,2.2
16,1.1991,0.4871,0.7585,0.001000,2.2
17,1.1762,0.4756,0.7498,0.001000,2.2
18,1.1569,0.4908,0.7590,0.001000,2.2
19,1.1311,0.4865,0.7665,0.001000,2.2
20,1.1187,0.4946,0.7725,0.001000,2.2
21,1.1002,0.5035,0.7693,0.001000,2.2
22,1.0865,0.4968,0.7693,0.001000,2.3
23,1.0699,0.4958,0.7666,0.001000,2.5
24,1.0559,0.4967,0.7731,0.001000,2.4
25,1.0455,0.4953,0.7689,0.001000,2.2
26,1.0305,0.4961,0.7702,0.001000,2.2
27,1.0174,0.4900,0.7566,0.001000,2.3
28,1.0138,0.5033,0.7691,0.001000,2.2
29,0.9987,0.5065,0.7771,0.001000,2.2
30,0.9853,0.4989,0.7682,0.001000,2.2
31,0.9779,0.4846,0.7576,0.001000,2.2
32,0.9694,0.5096,0.7734,0.001000,2.2
33,0.9606,0.5110,0.7682,0.001000,2.2
34,0.9565,0.5229,0.7807,0.001000,2.2
35,0.9426,0.5149,0.7798,0.001000,2.3
36,0.9374,0.5072,0.7746,0.001000,2.2
37,0.9319,0.5167,0.7748,0.001000,2.2
38,0.9260,0.5203,0.7807,0.001000,2.2
39,0.9180,0.5090,0.7776,0.001000,2.2
40,0.9147,0.5299,0.7911,0.001000,2.2
41,0.9018,0.5004,0.7659,0.001000,2.2
42,0.8940,0.5028,0.7741,0.001000,2.2
43,0.8851,0.5172,0.7803,0.001000,2.2
44,0.8853,0.5208,0.7833,0.001000,2.2
45,0.8798,0.5159,0.7807,0.001000,2.2
46,0.8744,0.5151,0.7844,0.001000,2.2
47,0.8669,0.5126,0.7722,0.001000,2.2
48,0.8696,0.5094,0.7754,0.001000,2.2
49,0.8634,0.5130,0.7749,0.001000,2.3
50,0.8574,0.5200,0.7853,0.001000,2.2
