epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,4.5222,0.1061,0.3455,0.001000,2.2
2,3.3568,0.2135,0.5013,0.001000,1.9
3,2.8007,0.2929,0.5936,0.001000,1.9
4,2.4845,0.3306,0.6270,0.001000,1.9
5,2.2646,0.3445,0.6397,0.001000,1.9
6,2.0919,0.3839,0.6711,0.001000,1.9
7,1.9618,0.3998,0.6872,0.001000,1.9
8,1.8506,0.4170,0.7029,0.001000,1.9
9,1.7708,0.4168,0.7019,0.001000,1.9
10,1.6884,0.4179,0.7032,0.001000,1.9
11,1.6259,0.4384,0.7140,0.001000,1.9
12,1.5761,0.4381,0.7150,0.001000,1.9
13,1.5244,0.4402,0.7189,0.001000,1.9
14,1.4794,0.4522,0.7224,0.001000,1.9
15,1.4380,0.4502,0.7202,0.001000,1.9
16,1.4023,0.4548,0.7244,0.001000,1.9
17,1.3687,0.4629,0.7288,0.001000,1.9
18,1.3314,0.4705,0.7357,0.001000,1.9
19,1.3099,0.4594,0.7275,0.001000,1.9
20,1.2869,0.4776,0.7420,0.001000,1.9
21,1.2570,0.4744,0.7426,0.001000,1.9
22,1.2350,0.4660,0.7317,0.001000,1.9
23,1.2121,0.4521,0.7280,0.001000,1.9
24,1.1895,0.4638,0.7325,0.001000,1.9
25,1.1748,0.4742,0.7366,0.001000,1.9
26,1.1564,0.4751,0.7416,0.001000,1.9
27,1.1353,0.4648,0.7302,0.001000,1.9
28,1.1209,0.4720,0.7393,0.001000,2.5
29,1.1086,0.4705,0.7366,0.001000,3.0
30,1.0849,0.4688,0.7374,0.001000,2.1
