epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,4.6404,0.1430,0.3958,0.000300,7.3
2,3.3577,0.2473,0.5431,0.000300,7.1
3,2.6918,0.2959,0.6114,0.000299,7.1
4,2.2910,0.3553,0.6590,0.000298,7.1
5,2.0384,0.3669,0.6704,0.000297,7.1
6,1.8525,0.4167,0.7173,0.000295,7.1
7,1.7094,0.4250,0.7214,0.000293,7.1
8,1.6059,0.4135,0.7104,0.000290,7.1
9,1.5151,0.4328,0.7293,0.000287,7.1
10,1.4363,0.4542,0.7504,0.000284,7.1
11,1.3707,0.4273,0.7207,0.000280,7.1
12,1.3127,0.4437,0.7332,0.000276,7.2
13,1.2506,0.4508,0.7399,0.000271,7.2
14,1.2023,0.4509,0.7307,0.000267,7.1
15,1.1617,0.4698,0.7467,0.000261,7.1
16,1.1175,0.4613,0.7390,0.000256,7.2
17,1.0777,0.4515,0.7338,0.000250,7.2
18,1.0422,0.4649,0.7387,0.000244,7.1
19,1.0103,0.4526,0.7317,0.000238,7.1
20,0.9783,0.4580,0.7328,0.000232,7.2
21,0.9416,0.4670,0.7387,0.000225,7.1
22,0.9159,0.4572,0.7318,0.000218,7.1
23,0.8871,0.4607,0.7369,0.000211,7.1
24,0.8562,0.4649,0.7345,0.000204,7.1
25,0.8319,0.4783,0.7453,0.000196,7.1
26,0.8086,0.4639,0.7312,0.000189,7.2
27,0.7855,0.4473,0.7280,0.000181,7.1
28,0.7588,0.4580,0.7256,0.000173,7.2
29,0.7364,0.4500,0.7240,0.000166,7.2
30,0.7167,0.4649,0.7328,0.000158,7.3
31,0.6916,0.4587,0.7289,0.000150,7.2
32,0.6776,0.4588,0.7261,0.000142,7.2
33,0.6512,0.4527,0.7207,0.000134,7.2
34,0.6339,0.4584,0.7245,0.000127,7.1
35,0.6156,0.4592,0.7257,0.000119,7.1
36,0.5969,0.4621,0.7277,0.000111,7.2
37,0.5733,0.4582,0.7282,0.000104,7.1
38,0.5647,0.4545,0.7205,0.000096,7.1
39,0.5470,0.4592,0.7242,0.000089,7.2
40,0.5326,0.4578,0.7221,0.000082,7.2
41,0.5153,0.4573,0.7225,0.000075,7.1
42,0.5022,0.4544,0.7152,0.000068,7.2
43,0.4890,0.4579,0.7233,0.000062,7.2
44,0.4772,0.4584,0.7227,0.000056,7.1
45,0.4669,0.4519,0.7137,0.000050,7.1
46,0.4522,0.4584,0.7198,0.000044,7.2
47,0.4470,0.4593,0.7210,0.000039,7.1
48,0.4348,0.4572,0.7199,0.000033,7.1
49,0.4269,0.4600,0.7241,0.000029,7.2
50,0.4187,0.4620,0.7242,0.000024,7.2
51,0.4134,0.4593,0.7210,0.000020,7.1
52,0.4064,0.4563,0.7157,0.000016,7.1
53,0.4016,0.4571,0.7168,0.000013,7.1
54,0.3964,0.4579,0.7196,0.000010,7.2
55,0.3935,0.4584,0.7169,0.000007,7.1
56,0.3910,0.4574,0.7177,0.000005,7.1
57,0.3903,0.4592,0.7182,0.000003,7.2
58,0.3865,0.4593,0.7198,0.000002,7.1
59,0.3845,0.4600,0.7185,0.000001,7.2
60,0.3850,0.4595,0.7183,0.000000,7.2
