epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,4.6981,0.1455,0.4061,0.000300,8.1
2,3.5000,0.2366,0.5322,0.000300,7.6
3,2.8287,0.3079,0.6170,0.000299,7.7
4,2.4408,0.3656,0.6672,0.000298,7.6
5,2.1746,0.3770,0.6787,0.000297,7.7
6,1.9877,0.4154,0.7174,0.000295,7.7
7,1.8490,0.4272,0.7204,0.000293,7.6
8,1.7422,0.4328,0.7237,0.000290,7.6
9,1.6474,0.4414,0.7308,0.000287,7.7
10,1.5668,0.4671,0.7452,0.000284,7.6
11,1.5008,0.4532,0.7382,0.000280,7.7
12,1.4442,0.4716,0.7560,0.000276,7.7
13,1.3797,0.4708,0.7530,0.000271,7.7
14,1.3316,0.4610,0.7405,0.000267,7.7
15,1.2825,0.4790,0.7543,0.000261,7.7
16,1.2469,0.4758,0.7536,0.000256,7.7
17,1.2070,0.4762,0.7490,0.000250,7.7
18,1.1712,0.4755,0.7536,0.000244,7.7
19,1.1336,0.4734,0.7475,0.000238,7.7
20,1.0948,0.4826,0.7528,0.000232,7.8
21,1.0666,0.4797,0.7495,0.000225,7.7
22,1.0414,0.4902,0.7527,0.000218,7.7
23,1.0077,0.4825,0.7530,0.000211,7.7
24,0.9884,0.4742,0.7441,0.000204,7.7
25,0.9578,0.4811,0.7499,0.000196,7.6
26,0.9307,0.4786,0.7481,0.000189,7.7
27,0.9106,0.4886,0.7546,0.000181,7.7
28,0.8877,0.4766,0.7465,0.000173,7.7
29,0.8614,0.4711,0.7366,0.000166,7.7
30,0.8414,0.4705,0.7415,0.000158,7.7
31,0.8224,0.4858,0.7462,0.000150,7.7
32,0.8009,0.4770,0.7469,0.000142,7.8
33,0.7783,0.4810,0.7488,0.000134,7.7
34,0.7579,0.4855,0.7495,0.000127,7.7
35,0.7440,0.4844,0.7485,0.000119,7.7
36,0.7274,0.4908,0.7493,0.000111,7.8
37,0.7102,0.4874,0.7475,0.000104,7.7
38,0.6961,0.4891,0.7491,0.000096,7.7
39,0.6766,0.4868,0.7478,0.000089,7.7
40,0.6586,0.4887,0.7452,0.000082,7.8
41,0.6462,0.4878,0.7459,0.000075,7.7
42,0.6310,0.4845,0.7443,0.000068,7.7
43,0.6218,0.4938,0.7467,0.000062,7.8
44,0.6057,0.4902,0.7455,0.000056,7.7
45,0.5976,0.4908,0.7458,0.000050,7.7
46,0.5854,0.4896,0.7420,0.000044,7.7
47,0.5757,0.4916,0.7472,0.000039,7.7
48,0.5652,0.4886,0.7424,0.000033,7.7
49,0.5601,0.4910,0.7449,0.000029,7.7
50,0.5515,0.4886,0.7449,0.000024,7.8
51,0.5410,0.4872,0.7413,0.000020,7.7
52,0.5431,0.4846,0.7408,0.000016,7.7
53,0.5341,0.4849,0.7420,0.000013,7.7
54,0.5258,0.4866,0.7419,0.000010,7.7
55,0.5209,0.4883,0.7439,0.000007,7.7
56,0.5229,0.4868,0.7415,0.000005,7.7
57,0.5220,0.4857,0.7410,0.000003,7.7
58,0.5157,0.4867,0.7426,0.000002,7.7
59,0.5175,0.4872,0.7424,0.000001,7.8
60,0.5153,0.4877,0.7431,0.000000,8.0
